gene_symbol,n_paired_donors,mean_tumor_expression,mean_normal_expression,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,sd_delta,cohen_dz_paired,mean_delta_95ci_low,mean_delta_95ci_high,paired_t_statistic,paired_t_p,paired_wilcoxon_statistic,paired_wilcoxon_p,tumor_cell_detection_fraction,normal_cell_detection_fraction,detection_fraction_delta,pathway_categories,pathway_term_ids,pathway_term_count,core_prostaglandin_AA_inflammatory_term_count,pathway_supported,paired_t_BH_FDR,paired_wilcoxon_BH_FDR,primary_statistical_eligibility,network_priority_eligibility,driver_priority_rank
NEAT1,35,3.217351613725935,1.968582580770765,1.2487690329551697,1.0524511337280273,1.0471843305904907,1.1925016412831624,0.8890486295614413,1.6084894363488982,7.054934851308427,3.807269286955436e-08,20.0,2.1595042198896408e-08,0.8478077571669477,0.6303680981595092,0.21743965900743845,prostaglandin_AA_inflammation,GO:0006954,1,1,True,1.094688948302581e-06,5.542727497716745e-07,True,True,1.0
MMP9,35,1.3189781163419996,0.3902786519910608,0.9286994643509388,0.9292915016412735,0.9126158579774039,1.0176236323672705,0.6152049486432507,1.2421939800586268,6.020342598252405,8.104527223848695e-07,46.0,1.1058873496949673e-06,0.47892074198988194,0.12269938650306748,0.35622135548681444,prostaglandin_AA_inflammation,GO:0006954,1,1,True,1.248097192472699e-05,1.7030665185302498e-05,True,True,2.0
TIMP1,35,1.7416146091052465,1.1246617794036866,0.6169528297015598,0.6960927844047546,0.7927111328370745,0.7782820300422876,0.34464702818325615,0.8892586312198636,4.604378583482905,5.5629077912807776e-05,77.0,3.15406359732151e-05,0.6938764755480608,0.4562883435582822,0.23758813198977857,prostaglandin_AA_inflammation,GO:0006954,1,1,True,0.0003294953076373999,0.00022078445181250572,True,True,3.0
STAT3,35,0.492249784725053,0.2881274823631559,0.20412230236189707,0.2717953324317932,0.2654564858383661,0.7689482580063429,0.11293480902401141,0.2953097956997827,4.549159243440993,6.547340296378243e-05,81.0,4.556449130177498e-05,0.44572091062394603,0.18634969325153375,0.2593712173724123,nuclear_receptor;prostaglandin_AA_inflammation,GO:0004879;GO:0006954,2,1,True,0.00036010371630080336,0.00029237215251972276,True,True,4.0
PTGER4,35,0.2965215678725924,0.19548719289845654,0.10103437497413584,0.11283403635025024,0.17832007102919598,0.5665900332531478,0.039779287393088746,0.16228946255518292,3.3519918410346876,0.0019781612260423957,99.0,0.00020785926608368754,0.28720489038785835,0.1549079754601227,0.13229691492773565,prostaglandin_AA_inflammation,GO:0006954,1,1,True,0.008016758652908657,0.0009414802052025848,True,True,5.0
PTGES3,35,1.3865885087421963,1.1315024580274309,0.25508605071476526,0.24570173025131226,0.46698624607745265,0.5462388943088007,0.0946706626010218,0.4155014388285087,3.231592879362984,0.002733988998998325,137.0,0.0028328304761089385,0.719276981450253,0.5115030674846626,0.20777391396559042,prostaglandin_AA_inflammation,GO:0001516;GO:0006693;KEGG:00590,3,3,True,0.010525857646143553,0.007270931555346275,True,True,6.0
CXCR4,35,1.1149120926856995,0.8077578638281141,0.30715422885758537,0.3542599678039551,0.6915775407303885,0.444135633053083,0.06958903172624753,0.5447194259889232,2.627541839659494,0.01281010019101137,160.0,0.0101319098030217,0.5502740303541316,0.3458588957055215,0.2044151346486101,prostaglandin_AA_inflammation,GO:0006954,1,1,True,0.037937604411841366,0.022290201566647738,True,True,7.0
MAP1LC3B,35,0.9686241149902344,0.5567027351685933,0.4119213798216411,0.343697190284729,0.34734207548198537,1.185924219661678,0.29260520227958453,0.5312375573636977,7.0160223002286415,4.265021876503562e-08,16.0,9.837094694375992e-09,0.6329047217537943,0.34662576687116564,0.28627895488262867,,,0,0,False,1.094688948302581e-06,3.787281457334757e-07,True,False,
SQSTM1,35,1.0973579134259905,0.721134205375399,0.37622370805059163,0.30793410539627075,0.41550284890986666,0.90546601313967,0.23349348562946376,0.5189539304717194,5.356809174619412,5.909196983262238e-06,55.0,3.2549723982810974e-06,0.6484506745362564,0.3911042944785276,0.25734638005772875,,,0,0,False,6.691749424371716e-05,3.580469638109207e-05,True,False,
TIMP2,35,1.208077325139727,0.7389881108488355,0.4690892142908914,0.4757685661315918,0.5190036319484785,0.9038264578800825,0.29080522894702954,0.6473731996347533,5.347109434894893,6.083408567610651e-06,62.0,7.052789442241192e-06,0.7042053119730185,0.4003067484662577,0.3038985635067608,,,0,0,False,6.691749424371716e-05,6.03405318947302e-05,True,False,
