cohort,Patient,Sample,Class,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE132465,SMC01,SMC01-N,Normal,B cells,GEO curated annotation,788,10696387,382,237,43.49944290741104,1.3947173450177919,CEBPB,35.71299355567445,3.6031307402389188,0.30076142131979694,True
GSE132465,SMC01,SMC01-N,Normal,Epithelial cells,GEO curated annotation,159,2024254,143,68,71.67318653281242,1.9982121408767564,CEBPB,70.64330859664844,4.271699759775554,0.4276729559748428,True
GSE132465,SMC01,SMC01-N,Normal,Mast cells,GEO curated annotation,82,152733,7,7,50.34448651544869,0.5397945639092018,CEBPB,45.83161464778404,3.8465585015202213,0.08536585365853659,True
GSE132465,SMC01,SMC01-N,Normal,Myeloids,GEO curated annotation,67,515684,258,55,540.1748129119898,5.134734182634157,CEBPB,500.30638918407396,6.217217469418786,0.8208955223880597,True
GSE132465,SMC01,SMC01-N,Normal,Stromal cells,GEO curated annotation,440,2602060,1231,249,396.5694182885109,3.5360654837126364,CEBPB,473.0867082234845,6.161390233707183,0.5659090909090909,True
GSE132465,SMC01,SMC01-N,Normal,T cells,GEO curated annotation,899,2444664,176,144,69.15152426071708,0.9572944008158758,CEBPB,71.99353367170295,4.2903708573852795,0.16017797552836485,True
GSE132465,SMC01,SMC01-T,Tumor,B cells,GEO curated annotation,129,1008553,41,26,41.6747310205084,0.983788353438683,CEBPB,40.6523008706533,3.7293566100798903,0.20155038759689922,True
GSE132465,SMC01,SMC01-T,Tumor,Epithelial cells,GEO curated annotation,1093,22967787,7159,951,298.4214503357397,4.883404076353756,CEBPB,311.6974221330074,5.745236020531533,0.8700823421774931,True
GSE132465,SMC01,SMC01-T,Tumor,Myeloids,GEO curated annotation,171,1050982,460,111,471.1900150890722,4.040917209655392,CEBPB,437.6858975700821,6.083783661701708,0.6491228070175439,True
GSE132465,SMC01,SMC01-T,Tumor,Stromal cells,GEO curated annotation,154,1404139,984,115,691.5472942221348,4.83692181918171,CEBPB,700.7853211113714,6.553627546873619,0.7467532467532467,True
GSE132465,SMC01,SMC01-T,Tumor,T cells,GEO curated annotation,1244,3038843,227,192,75.1754144214972,0.940619106590915,CEBPB,74.69948266494846,4.326771326403518,0.15434083601286175,True
GSE132465,SMC02,SMC02-N,Normal,B cells,GEO curated annotation,500,6145194,402,198,67.16380369070434,1.8989918643153343,CEBPB,65.4169746309067,4.195952665843259,0.396,True
GSE132465,SMC02,SMC02-N,Normal,Epithelial cells,GEO curated annotation,119,1346121,109,47,58.38934111020942,1.8645848233388074,CEBPB,80.97340432249403,4.4063948571249,0.3949579831932773,True
GSE132465,SMC02,SMC02-N,Normal,Mast cells,GEO curated annotation,5,10812,2,1,93.19664492078286,1.2292586670809347,CEBPB,184.9796522382538,5.225637271160433,0.2,False
GSE132465,SMC02,SMC02-N,Normal,Myeloids,GEO curated annotation,21,175796,79,14,488.5746061349753,4.251512752526137,CEBPB,449.3845138683474,6.110101693171198,0.6666666666666666,False
GSE132465,SMC02,SMC02-N,Normal,Stromal cells,GEO curated annotation,265,1744153,679,160,360.29016897969035,3.6402017832556934,CEBPB,389.3007092841052,5.966917491464204,0.6037735849056604,True
GSE132465,SMC02,SMC02-N,Normal,T cells,GEO curated annotation,406,1404234,141,108,99.66317767154919,1.5504167351669438,CEBPB,100.4106153247963,4.619177773298982,0.2660098522167488,True
GSE132465,SMC02,SMC02-T,Tumor,B cells,GEO curated annotation,90,495560,19,16,48.35885754190145,0.9624463483836531,CEBPB,38.34046331423036,3.672253590070779,0.17777777777777778,True
GSE132465,SMC02,SMC02-T,Tumor,Epithelial cells,GEO curated annotation,352,8162628,1924,291,235.7284188381722,4.3859326578417654,CEBPB,235.708401754925,5.466829011263567,0.8267045454545454,True
GSE132465,SMC02,SMC02-T,Tumor,Myeloids,GEO curated annotation,615,2674793,987,381,382.3043214828608,3.8409094665540846,CEBPB,369.00051704935674,5.9135044030679875,0.6195121951219512,True
GSE132465,SMC02,SMC02-T,Tumor,Stromal cells,GEO curated annotation,105,1315584,500,75,325.5318858669355,4.135738384613428,CEBPB,380.05935006810665,5.942955137452093,0.7142857142857143,True
GSE132465,SMC02,SMC02-T,Tumor,T cells,GEO curated annotation,527,1431570,124,98,91.0636752908617,1.1295154106725076,CEBPB,86.61818842250118,4.4729886067839875,0.1859582542694497,True
GSE132465,SMC03,SMC03-N,Normal,B cells,GEO curated annotation,697,6704654,350,189,53.85125910653419,1.3296668543488488,CEBPB,52.20254468015799,3.974106227537466,0.27116212338593976,True
GSE132465,SMC03,SMC03-N,Normal,Epithelial cells,GEO curated annotation,65,1022785,142,34,111.60167987525544,2.6091972122974516,CEBPB,138.8366078892436,4.940474654528089,0.5230769230769231,True
GSE132465,SMC03,SMC03-N,Normal,Mast cells,GEO curated annotation,2,5561,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC03,SMC03-N,Normal,Myeloids,GEO curated annotation,3,20495,2,1,59.46010227137591,1.729836057034251,CEBPB,97.58477677482313,4.590916855924174,0.3333333333333333,False
GSE132465,SMC03,SMC03-N,Normal,Stromal cells,GEO curated annotation,25,202320,63,16,323.94753479257446,3.843805698145563,CEBPB,311.38790035587186,5.744245685960244,0.64,False
GSE132465,SMC03,SMC03-N,Normal,T cells,GEO curated annotation,470,1863877,150,112,81.24889378245172,1.3647343888459884,CEBPB,80.47741347739148,4.400325846591017,0.23829787234042554,True
GSE132465,SMC03,SMC03-T,Tumor,B cells,GEO curated annotation,300,2549075,83,57,32.48713269760483,0.8961908463290996,CEBPB,32.560830889636435,3.5133596396249556,0.19,True
GSE132465,SMC03,SMC03-T,Tumor,Epithelial cells,GEO curated annotation,796,16778683,1910,540,112.16413632549717,3.25058296592635,CEBPB,113.83491779420352,4.743495599608005,0.678391959798995,True
GSE132465,SMC03,SMC03-T,Tumor,Myeloids,GEO curated annotation,316,1732770,1200,260,723.3423434359422,5.353674434992792,CEBPB,692.5327654564657,6.541798485151372,0.8227848101265823,True
GSE132465,SMC03,SMC03-T,Tumor,Stromal cells,GEO curated annotation,218,3133527,1577,180,473.69641611097575,5.0390109144456945,CEBPB,503.26676617115476,6.223105426001253,0.8256880733944955,True
GSE132465,SMC03,SMC03-T,Tumor,T cells,GEO curated annotation,493,1205504,141,98,115.366304609111,1.2361177745059757,CEBPB,116.96352728817159,4.7703754859090575,0.19878296146044624,True
GSE132465,SMC04,SMC04-N,Normal,B cells,GEO curated annotation,569,6878511,223,153,40.82938364989234,1.2559815794348752,CEBPB,32.41980713558501,3.509148752222559,0.2688927943760984,True
GSE132465,SMC04,SMC04-N,Normal,Epithelial cells,GEO curated annotation,169,1501935,117,54,76.34567924228304,1.5891894193454967,CEBPB,77.89950963257398,4.368175012782755,0.31952662721893493,True
GSE132465,SMC04,SMC04-N,Normal,Mast cells,GEO curated annotation,9,21218,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC04,SMC04-N,Normal,Myeloids,GEO curated annotation,66,432150,181,47,513.9712503811862,4.464697653669827,CEBPB,418.83605229665625,6.0398642833957386,0.7121212121212122,True
GSE132465,SMC04,SMC04-N,Normal,Stromal cells,GEO curated annotation,439,2997287,1745,340,591.3969572823775,4.904009034306186,CEBPB,582.1931633507235,6.368518457976086,0.7744874715261959,True
GSE132465,SMC04,SMC04-N,Normal,T cells,GEO curated annotation,536,1654528,141,113,85.28485424188443,1.2423873795787428,CEBPB,85.22067925112177,4.456910047403495,0.21082089552238806,True
GSE132465,SMC04,SMC04-T,Tumor,B cells,GEO curated annotation,103,479579,22,15,36.144420139589585,0.7696990335819218,CEBPB,45.87356827550831,3.8474539403682915,0.14563106796116504,True
GSE132465,SMC04,SMC04-T,Tumor,Epithelial cells,GEO curated annotation,307,6586600,947,227,159.0651309737365,3.6498126592939624,CEBPB,143.77675887407767,4.975192962056032,0.739413680781759,True
GSE132465,SMC04,SMC04-T,Tumor,Myeloids,GEO curated annotation,823,4066356,2339,635,601.1021697681514,4.935937033532017,CEBPB,575.207876536142,6.3564684923524535,0.7715674362089915,True
GSE132465,SMC04,SMC04-T,Tumor,Stromal cells,GEO curated annotation,149,1584188,453,83,278.29945011240557,3.1818084209170614,CEBPB,285.95090986675825,5.659311155369203,0.5570469798657718,True
GSE132465,SMC04,SMC04-T,Tumor,T cells,GEO curated annotation,459,1442410,125,96,94.16421806937647,1.2480879266154736,CEBPB,86.66051954714679,4.4734716218171195,0.20915032679738563,True
GSE132465,SMC05,SMC05-N,Normal,B cells,GEO curated annotation,262,3177949,226,99,79.14273827129847,1.8909546972580669,CEBPB,71.11504936045229,4.278262751503828,0.37786259541984735,True
GSE132465,SMC05,SMC05-N,Normal,Epithelial cells,GEO curated annotation,75,672457,38,20,83.64491787799058,1.29430237344076,CEBPB,56.50918943516091,4.0519447512977145,0.26666666666666666,True
GSE132465,SMC05,SMC05-N,Normal,Mast cells,GEO curated annotation,7,12948,6,2,673.0640545168283,2.1388349098212105,CEBPB,463.3920296570899,6.140729087008691,0.2857142857142857,False
GSE132465,SMC05,SMC05-N,Normal,Myeloids,GEO curated annotation,21,185068,59,16,289.4309222367116,4.316438531396308,CEBPB,318.8017377396416,5.767701234217616,0.7619047619047619,False
GSE132465,SMC05,SMC05-N,Normal,Stromal cells,GEO curated annotation,264,2219443,1228,187,526.9447780829488,4.4011848204992425,CEBPB,553.2919746080436,6.31769157789418,0.7083333333333334,True
GSE132465,SMC05,SMC05-N,Normal,T cells,GEO curated annotation,485,1637506,124,97,78.58716215938901,1.1687880256169574,CEBPB,75.72491337436321,4.340226471464605,0.2,True
GSE132465,SMC05,SMC05-T,Tumor,B cells,GEO curated annotation,106,1246185,42,31,46.26432903559445,1.3432725431709946,CEBPB,33.7028611321754,3.5468221369305333,0.29245283018867924,True
GSE132465,SMC05,SMC05-T,Tumor,Epithelial cells,GEO curated annotation,13,91555,8,4,137.04895561136044,1.844674909829608,CEBPB,87.37917099011523,4.481636319596542,0.3076923076923077,False
GSE132465,SMC05,SMC05-T,Tumor,Myeloids,GEO curated annotation,20,205190,147,19,761.0194090893473,6.249826946014485,CEBPB,716.4091817340027,6.5756463636418765,0.95,False
GSE132465,SMC05,SMC05-T,Tumor,Stromal cells,GEO curated annotation,16,215243,204,15,757.4125613208504,5.970678545187608,CEBPB,947.7660132965997,6.855162206877389,0.9375,False
GSE132465,SMC05,SMC05-T,Tumor,T cells,GEO curated annotation,505,2045991,204,150,108.30661178161029,1.7087207995710019,CEBPB,99.70718346268386,4.612217132460156,0.297029702970297,True
GSE132465,SMC06,SMC06-N,Normal,B cells,GEO curated annotation,475,7404951,228,136,41.496522659684324,1.3068420424736977,CEBPB,30.790210495653515,3.459158396343178,0.2863157894736842,True
GSE132465,SMC06,SMC06-N,Normal,Epithelial cells,GEO curated annotation,23,148899,10,7,40.017856957321754,1.4349159806808018,CEBPB,67.15961826472979,4.2218522819292295,0.30434782608695654,False
GSE132465,SMC06,SMC06-N,Normal,Mast cells,GEO curated annotation,1,2013,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC06,SMC06-N,Normal,Myeloids,GEO curated annotation,27,226431,52,14,312.58741442651575,3.0358031730734174,CEBPB,229.65053371667307,5.440903723968952,0.5185185185185185,False
