cycle,cycle_begin_year,laboratory_title,data_file,data_url,doc_url,local_xpt,variable,flag_variable,weight_variable,matrix,n_measured,n_above_lod,above_lod_pct,selected_primary_biomarker,first_cycle,last_cycle,chemical_id,chemical_name
2015-2016,2015,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PAH_I.xpt,URXP25,URDP25LC,WTSA2YR,urine,3035,3026,99.70345963756178,True,2013-2014,2017-2018,C034041,11-methylbenzanthracene
2017-2018,2017,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PAH_J.xpt,URXP25,URDP25LC,WTSA2YR,urine,2774,2752,99.20692141312185,True,2013-2014,2017-2018,C034041,11-methylbenzanthracene
2001-2002,2001,"Phthalates, Phytoestrogens & PAHs - Urine",PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_PHPYPA_B.xpt,URXP10,,WTSPH2YR,urine,2747,2747,100.0,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2003-2004,2003,Polyaromatic Hydrocarbons (PAHs) - Urine,L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L31PAH_C.xpt,URXP10,URDP10LC,WTSB2YR,urine,2515,2499,99.3638170974155,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2005-2006,2005,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PAH_D.xpt,URXP10,URDP10LC,WTSB2YR,urine,2415,2411,99.8343685300207,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2007-2008,2007,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PAH_E.xpt,URXP10,URDP10LC,WTSB2YR,urine,2581,2569,99.5350639287098,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2009-2010,2009,Polyaromatic Hydrocarbons -Urine,PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PAH_F.xpt,URXP10,URDP10LC,WTSB2YR,urine,2746,2729,99.3809176984705,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2011-2012,2011,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PAH_G.xpt,URXP10,URDP10LC,WTSA2YR,urine,2487,2458,98.83393646964214,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2013-2014,2013,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PAH_H.xpt,URXP10,URDP10LC,WTSA2YR,urine,2650,2024,76.37735849056604,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2015-2016,2015,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PAH_I.xpt,URXP10,URDP10LC,WTSA2YR,urine,3036,2123,69.92753623188406,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2017-2018,2017,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PAH_J.xpt,URXP10,URDP10LC,WTSA2YR,urine,2775,1671,60.21621621621622,True,2001-2002,2017-2018,C402363,1-(1-propynyl)pyrene
2001-2002,2001,"Phthalates, Phytoestrogens & PAHs - Urine",PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_PHPYPA_B.xpt,URXP10,,WTSPH2YR,urine,2747,2747,100.0,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2003-2004,2003,Polyaromatic Hydrocarbons (PAHs) - Urine,L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L31PAH_C.xpt,URXP10,URDP10LC,WTSB2YR,urine,2515,2499,99.3638170974155,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2005-2006,2005,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PAH_D.xpt,URXP10,URDP10LC,WTSB2YR,urine,2415,2411,99.8343685300207,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2007-2008,2007,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PAH_E.xpt,URXP10,URDP10LC,WTSB2YR,urine,2581,2569,99.5350639287098,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2009-2010,2009,Polyaromatic Hydrocarbons -Urine,PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PAH_F.xpt,URXP10,URDP10LC,WTSB2YR,urine,2746,2729,99.3809176984705,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2011-2012,2011,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PAH_G.xpt,URXP10,URDP10LC,WTSA2YR,urine,2487,2458,98.83393646964214,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2013-2014,2013,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PAH_H.xpt,URXP10,URDP10LC,WTSA2YR,urine,2650,2024,76.37735849056604,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2015-2016,2015,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PAH_I.xpt,URXP10,URDP10LC,WTSA2YR,urine,3036,2123,69.92753623188406,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2017-2018,2017,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PAH_J.xpt,URXP10,URDP10LC,WTSA2YR,urine,2775,1671,60.21621621621622,True,2001-2002,2017-2018,C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene"
2001-2002,2001,"Phthalates, Phytoestrogens & PAHs - Urine",PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_PHPYPA_B.xpt,URXP02,,WTSPH2YR,urine,2748,2748,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2003-2004,2003,Polyaromatic Hydrocarbons (PAHs) - Urine,L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L31PAH_C.xpt,URXP02,URDP02LC,WTSB2YR,urine,2575,2575,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2005-2006,2005,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PAH_D.xpt,URXP02,URDP02LC,WTSB2YR,urine,2446,2445,99.95911692559281,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2007-2008,2007,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PAH_E.xpt,URXP02,URDP02LC,WTSB2YR,urine,2531,2530,99.96048992493085,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2009-2010,2009,Polyaromatic Hydrocarbons -Urine,PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PAH_F.xpt,URXP02,URDP02LC,WTSB2YR,urine,2747,2747,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2011-2012,2011,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PAH_G.xpt,URXP02,URDP02LC,WTSA2YR,urine,2492,2492,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2013-2014,2013,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PAH_H.xpt,URXP02,URDP02LC,WTSA2YR,urine,2641,2641,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2015-2016,2015,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PAH_I.xpt,URXP02,URDP02LC,WTSA2YR,urine,2986,2986,100.0,True,2001-2002,2015-2016,C117619,"1,2-dimethylnaphthalene"
2013-2014,2013,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAH_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PAH_H.xpt,URXP25,URDP25LC,WTSA2YR,urine,2650,2638,99.54716981132076,True,2013-2014,2017-2018,C021220,12-methylbenzanthracene
2015-2016,2015,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PAH_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PAH_I.xpt,URXP25,URDP25LC,WTSA2YR,urine,3035,3026,99.70345963756178,True,2013-2014,2017-2018,C021220,12-methylbenzanthracene
2017-2018,2017,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PAH_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PAH_J.xpt,URXP25,URDP25LC,WTSA2YR,urine,2774,2752,99.20692141312185,True,2013-2014,2017-2018,C021220,12-methylbenzanthracene
2001-2002,2001,"Phthalates, Phytoestrogens & PAHs - Urine",PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_PHPYPA_B.xpt,URXP02,,WTSPH2YR,urine,2748,2748,100.0,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
2003-2004,2003,Polyaromatic Hydrocarbons (PAHs) - Urine,L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L31PAH_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L31PAH_C.xpt,URXP02,URDP02LC,WTSB2YR,urine,2575,2575,100.0,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
2005-2006,2005,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PAH_D.xpt,URXP02,URDP02LC,WTSB2YR,urine,2446,2445,99.95911692559281,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
2007-2008,2007,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PAH_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PAH_E.xpt,URXP02,URDP02LC,WTSB2YR,urine,2531,2530,99.96048992493085,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
2009-2010,2009,Polyaromatic Hydrocarbons -Urine,PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PAH_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PAH_F.xpt,URXP02,URDP02LC,WTSB2YR,urine,2747,2747,100.0,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
2011-2012,2011,Polyaromatic Hydrocarbons (PAHs) - Urine,PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAH_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PAH_G.xpt,URXP02,URDP02LC,WTSA2YR,urine,2492,2492,100.0,True,2001-2002,2015-2016,C031969,"1,4-dimethylnaphthalene"
