hub_rank,hub_tier,gene_symbol,string_id,preferred_name,mapping_status,in_network,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
1,top20,IL6,9606.ENSP00000385675,IL6,mapped,yes,38,32.821,0.08974879103649669,0.493421052631579,0.3022117062484288,0.041068652985321474
2,top20,TNF,9606.ENSP00000398698,TNF,mapped,yes,36,30.785,0.06696149707719334,0.4853321829163072,0.29155300159280095,0.037352831883766854
3,top20,TP53,9606.ENSP00000269305,TP53,mapped,yes,32,28.11,0.09829165760488992,0.47368421052631576,0.21526067520651532,0.03936935025577394
4,top20,AKT1,9606.ENSP00000451828,AKT1,mapped,yes,32,26.529,0.08083688856918926,0.4775042444821732,0.22283577103058247,0.03458742335633812
5,top20,STAT3,9606.ENSP00000264657,STAT3,mapped,yes,29,25.661,0.03476030871059851,0.4589963280293758,0.2644820899815417,0.03055812255624605
6,top20,IL1B,9606.ENSP00000263341,IL1B,mapped,yes,29,25.309,0.027363514817964122,0.4519887505022097,0.2674466215446989,0.029626359971912788
7,top20,PPARG,9606.ENSP00000287820,PPARG,mapped,yes,23,20.024,0.04305491486746441,0.44519192718638706,0.18429517549862706,0.02615286147674003
8,top20,MMP9,9606.ENSP00000361405,MMP9,mapped,yes,21,17.551,0.02554807557464702,0.41993281075027994,0.17993143265780362,0.0226401153871184
9,top20,IFNG,9606.ENSP00000229135,IFNG,mapped,yes,20,17.766,0.0063935379856778825,0.39473684210526316,0.20964414039873816,0.02065609181315059
10,top20,SIRT1,9606.ENSP00000212015,SIRT1,mapped,yes,19,15.623,0.019004584375400046,0.43219362274298884,0.15255042403145058,0.020450133045237316
11,top20,IL4,9606.ENSP00000231449,IL4,mapped,yes,18,16.265,0.005801317116985671,0.39212269083304285,0.18841425365994358,0.01909936065783804
12,top20,RELA,9606.ENSP00000384273,RELA,mapped,yes,17,15.652,0.01498211575576555,0.4111842105263158,0.17543403386452888,0.019647984044594186
13,top20,IL13,9606.ENSP00000304915,IL13,mapped,yes,17,14.876999999999999,0.003168796755971788,0.3723932472691162,0.17507971505077627,0.01755171364036411
14,top20,ESR1,9606.ENSP00000405330,ESR1,mapped,yes,17,14.474,0.019867500020857635,0.41993281075027994,0.14403339198920068,0.0191354361611804
15,top20,IL1A,9606.ENSP00000263339,IL1A,mapped,yes,16,14.307,0.0019590894604766883,0.36325476267355505,0.17670480632595173,0.016805899996850008
16,top20,PPARA,9606.ENSP00000385523,PPARA,mapped,yes,16,13.394,0.032309569507190515,0.4027926960257788,0.09638755094888538,0.019805409300989812
17,top20,CEBPB,9606.ENSP00000305422,CEBPB,mapped,yes,15,13.076,0.016633098923816706,0.40555155010814714,0.1292209736177437,0.0177434002659141
18,top20,ADIPOQ,9606.ENSP00000389814,ADIPOQ,mapped,yes,15,12.543,0.010849763874219764,0.4000711237553343,0.11914188756364165,0.016762800909311554
19,top20,SREBF1,9606.ENSP00000348069,SREBF1,mapped,yes,14,11.879,0.02577311599682661,0.37955465587044535,0.0747812960892968,0.017778624976124566
20,top20,IL18,9606.ENSP00000280357,IL18,mapped,yes,13,11.845,0.017370192273143632,0.35455404979514654,0.1451221608927316,0.015641277683209102
