analysis_category,category,term,description,reduced_rank,fdr,fdr_numeric,p_value,gene_symbol,string_id,hub_rank,degree,membership_basis
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IFNG,9606.ENSP00000229135,9,20,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,RELA,9606.ENSP00000384273,12,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL13,9606.ENSP00000304915,13,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL1A,9606.ENSP00000263339,15,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PPARA,9606.ENSP00000385523,16,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CEBPB,9606.ENSP00000305422,17,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL18,9606.ENSP00000280357,20,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CD86,9606.ENSP00000332049,21,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CD80,9606.ENSP00000264246,22,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CD36,9606.ENSP00000415743,23,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NFE2L2,9606.ENSP00000380252,24,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL5,9606.ENSP00000231454,25,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CEBPA,9606.ENSP00000427514,26,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,STAT6,9606.ENSP00000300134,27,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CXCR4,9606.ENSP00000386884,28,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NR3C1,9606.ENSP00000231509,29,11,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,RXRA,9606.ENSP00000419692,30,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,MMP2,9606.ENSP00000219070,31,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,FASN,9606.ENSP00000304592,32,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CCR7,9606.ENSP00000246657,34,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL33,9606.ENSP00000370842,35,9,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NLRP3,9606.ENSP00000337383,36,8,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,AR,9606.ENSP00000363822,37,8,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,BECN1,9606.ENSP00000355231,39,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ACACA,9606.ENSP00000483300,40,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TXN,9606.ENSP00000363641,42,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,LEPR,9606.ENSP00000330393,43,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CCN2,9606.ENSP00000356954,44,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NOS3,9606.ENSP00000297494,45,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PGR,9606.ENSP00000325120,47,6,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ACE,9606.ENSP00000290866,48,6,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ATG5,9606.ENSP00000358072,49,5,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NR4A1,9606.ENSP00000440864,50,5,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,G6PD,9606.ENSP00000377192,51,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PPARD,9606.ENSP00000310928,52,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SLC2A1,9606.ENSP00000416293,53,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,FAS,9606.ENSP00000498466,54,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,EPAS1,9606.ENSP00000263734,55,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,GSR,9606.ENSP00000221130,57,3,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ATF4,9606.ENSP00000336790,58,3,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,NR1I2,9606.ENSP00000336528,60,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CYP3A4,9606.ENSP00000498939,61,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,FABP1,9606.ENSP00000295834,62,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,AGTR1,9606.ENSP00000398832,65,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,HSPA9,9606.ENSP00000297185,68,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,BMP2,9606.ENSP00000368104,70,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,DUSP1,9606.ENSP00000239223,71,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CYP11B1,9606.ENSP00000292427,73,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ALOX5,9606.ENSP00000363512,76,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ANGPT2,9606.ENSP00000314897,77,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CAT,9606.ENSP00000241052,81,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,GJB2,9606.ENSP00000372295,83,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,INHBA,9606.ENSP00000242208,86,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,LDLR,9606.ENSP00000454071,87,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,RYR1,9606.ENSP00000352608,91,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SORBS1,9606.ENSP00000360293,93,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TPM1,9606.ENSP00000351022,95,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,WNT4,9606.ENSP00000290167,96,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IFNG,9606.ENSP00000229135,9,20,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,RELA,9606.ENSP00000384273,12,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL1A,9606.ENSP00000263339,15,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,PPARA,9606.ENSP00000385523,16,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CEBPB,9606.ENSP00000305422,17,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,CD36,9606.ENSP00000415743,23,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,NFE2L2,9606.ENSP00000380252,24,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL5,9606.ENSP00000231454,25,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CEBPA,9606.ENSP00000427514,26,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,CXCR4,9606.ENSP00000386884,28,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,RXRA,9606.ENSP00000419692,30,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,CCR7,9606.ENSP00000246657,34,10,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,AR,9606.ENSP00000363822,37,8,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,AR,9606.ENSP00000363822,37,8,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,SQSTM1,9606.ENSP00000374455,38,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,SQSTM1,9606.ENSP00000374455,38,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,BECN1,9606.ENSP00000355231,39,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ACACA,9606.ENSP00000483300,40,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,HMGCR,9606.ENSP00000287936,41,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,CCN2,9606.ENSP00000356954,44,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CCN2,9606.ENSP00000356954,44,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ACLY,9606.ENSP00000466259,46,6,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ACE,9606.ENSP00000290866,48,6,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ATG5,9606.ENSP00000358072,49,5,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,NR4A1,9606.ENSP00000440864,50,5,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,G6PD,9606.ENSP00000377192,51,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,G6PD,9606.ENSP00000377192,51,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,PPARD,9606.ENSP00000310928,52,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,EPAS1,9606.ENSP00000263734,55,4,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ATF4,9606.ENSP00000336790,58,3,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CYP17A1,9606.ENSP00000358903,59,3,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CYP3A4,9606.ENSP00000498939,61,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,AGTR1,9606.ENSP00000398832,65,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,FDPS,9606.ENSP00000349078,66,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,GATA2,9606.ENSP00000345681,69,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,GATA2,9606.ENSP00000345681,69,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,BMP2,9606.ENSP00000368104,70,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,BMP2,9606.ENSP00000368104,70,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,DUSP1,9606.ENSP00000239223,71,2,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ACSL4,9606.ENSP00000339787,72,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ACSL4,9606.ENSP00000339787,72,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CYP11B1,9606.ENSP00000292427,73,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,MKI67,9606.ENSP00000357643,74,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,UBE2C,9606.ENSP00000348838,75,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ALOX5,9606.ENSP00000363512,76,1,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,CNR1,9606.ENSP00000358513,82,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,GRN,9606.ENSP00000053867,84,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,GUCY2C,9606.ENSP00000261170,85,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,INHBA,9606.ENSP00000242208,86,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,INHBA,9606.ENSP00000242208,86,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,LDLR,9606.ENSP00000454071,87,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TNC,9606.ENSP00000265131,94,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TPM1,9606.ENSP00000351022,95,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,WNT4,9606.ENSP00000290167,96,0,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,CEBPA,9606.ENSP00000427514,26,12,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,NR3C1,9606.ENSP00000231509,29,11,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,HMGCR,9606.ENSP00000287936,41,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,LEPR,9606.ENSP00000330393,43,7,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,ACLY,9606.ENSP00000466259,46,6,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,G6PD,9606.ENSP00000377192,51,4,significant nonredundant STRING representative terms
