donor_id,threshold,score,source_group,source_n_cells,C1QC_n_cells,source_synthesis_score,C1QC_PTGER4_mean,C1QC_PTGER4_detection_fraction,C1QC_PTGER4_pseudobulk,Axis_1_mean,Axis_2_detection,Axis_3_pseudobulk,coverage
KUL19,10,Score_A,FCN1_inflammatory_monocyte_like,35,129,-0.022824664836864034,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.004319280511046055,-0.006369673907962056,-0.005805335222657424,True
KUL19,10,Score_B,FCN1_inflammatory_monocyte_like,35,129,0.06323385267552104,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.011966210652022921,0.01764665656061052,0.016083202746909164,True
KUL19,10,Score_C,FCN1_inflammatory_monocyte_like,35,129,-0.03577645864344703,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.006770244456045961,-0.0099841279935201,-0.009099556860493447,True
KUL19,10,Score_D,FCN1_inflammatory_monocyte_like,35,129,0.255034659762152,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.048262099068056806,0.07117246318943776,0.06486674410764723,True
KUL19,10,Score_A,fibroblast_like,189,129,0.8369558506097734,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.15838335940452095,0.23356907458877396,0.21287538345389753,True
KUL19,10,Score_B,fibroblast_like,189,129,0.4885318989504054,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.0924485123984288,0.1363344834280201,0.12425555690035565,True
KUL19,10,Score_C,fibroblast_like,189,129,0.4975084288534933,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.09414720768899924,0.13883956154050975,0.12653869076436175,True
KUL19,10,Score_D,fibroblast_like,189,129,0.15764918644478004,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.029833124098866723,0.043995121798543264,0.040097253625955655,True
KUL19,10,Score_A,endothelial_like,176,129,-0.11151227336902934,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.021102294055480402,-0.031119704196008187,-0.02836256886901887,True
KUL19,10,Score_B,endothelial_like,176,129,-0.14301289738171102,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.027063390630445886,-0.03991057601350075,-0.03637458934877434,True
KUL19,10,Score_C,endothelial_like,176,129,-0.0614112031572181,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.011621297173593286,-0.017138010183409703,-0.015619621286993304,True
KUL19,10,Score_D,endothelial_like,176,129,0.0,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.0,0.0,0.0,True
KUL19,10,Score_A,other_myeloid,27,129,-0.15588811069502753,0.18923741233080454,0.27906976744186046,0.25434481794804925,-0.029499862681065026,-0.04350365879861234,-0.03964933313499213,True
KUL19,10,Score_B,other_myeloid,27,129,0.35001097315921076,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.06623517084803573,0.09767748088164022,0.08902347724799901,True
KUL19,10,Score_C,other_myeloid,27,129,0.2708231546545654,0.18923741233080454,0.27906976744186046,0.25434481794804925,0.05124987298609524,0.07557855478732058,0.06888246596673182,True
