test_id,variable,cycle,source_data_file,source_weight_variable,exposure_rows,exposure_nonmissing,universal_outcome_covariate_rows,merge_rows,crc_vs_cancer_free_rows,complete_case_rows,complete_case_crc_cases
NHANES_URXMIB,URXMIB,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXMIB,URXMIB,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXMIB,URXMIB,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXMIB,URXMIB,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXMOH,URXMOH,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2782,10470,2901,1581,1379,12
NHANES_URXMOH,URXMOH,2003-2004,L24PH_C.xpt,WTSB2YR,2697,2605,9645,2697,1445,1288,15
NHANES_URXMOH,URXMOH,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXMOH,URXMOH,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXMOH,URXMOH,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXMOH,URXMOH,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXMOH,URXMOH,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXMOH,URXMOH,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXMOH,URXMOH,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXMZP,URXMZP,1999-2000,PHPYPA.xpt,WTSPH4YR,2648,2541,9493,2648,1417,1176,7
NHANES_URXMZP,URXMZP,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2782,10470,2901,1581,1379,12
NHANES_URXMZP,URXMZP,2003-2004,L24PH_C.xpt,WTSB2YR,2697,2605,9645,2697,1445,1288,15
