gene_symbol,gene_id,chemical,chemical_identity,evidence_tier,evidence_type,species,tissue_or_cell,direction,effect_size,p_value,fdr,dose,duration,dataset_or_reference,source_database,notes
ABCC1,4363,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Mus musculus,,affects,,,,,,CTD-PMID:14742140,CTD,ABCC1 protein affects the sulfation of 2-naphthol
AHR,196,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Mus musculus,,affects;increases,,,,,,CTD-PMID:27837168,CTD,[2-naphthol binds to and results in increased activity of AHR protein] which results in increased expression of CYP1B1 mRNA
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Rattus norvegicus,,affects;decreases,,,,,,CTD-PMID:3695475,CTD,2-naphthol inhibits the reaction [Metribolone binds to AR protein]
CES1,1066,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,affects,,,,,,CTD-PMID:12837533,CTD,CES1 protein affects the metabolism of 2-naphthol
CYP1A1,1543,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:16243959,CTD,CYP1A1 protein results in increased abundance of 2-naphthol
CYP1A2,1544,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,affects,,,,,,CTD-PMID:32278787,CTD,2-naphthol binds to CYP1A2 protein
CYP1A2,1544,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,decreases,,,,,,CTD-PMID:15916432,CTD,2-naphthol results in decreased activity of CYP1A2 protein
CYP1A2,1544,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:16243959,CTD,CYP1A2 protein results in increased abundance of 2-naphthol
CYP1B1,1545,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Mus musculus,,affects;increases,,,,,,CTD-PMID:27837168,CTD,[2-naphthol binds to and results in increased activity of AHR protein] which results in increased expression of CYP1B1 mRNA
CYP2B6,1555,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:16243959,CTD,CYP2B6 protein results in increased abundance of 2-naphthol
CYP2E1,1571,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:16243959,CTD,CYP2E1 protein results in increased abundance of 2-naphthol
CYP3A4,1576,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:16243959,CTD,CYP3A4 protein results in increased abundance of 2-naphthol
SSU-1,190959,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Caenorhabditis elegans,,increases,,,,,,CTD-PMID:16567400,CTD,SSU-1 protein results in increased sulfation of 2-naphthol
SULT1A1,6817,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Bos taurus,,increases,,,,,,CTD-PMID:8890738,CTD,2-naphthol results in increased activity of SULT1A1 protein
SULT4A1,25830,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:12039030,CTD,SULT4A1 protein results in increased metabolism of 2-naphthol
SULT4A1,25830,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Mus musculus,,increases,,,,,,CTD-PMID:12039030,CTD,SULT4A1 protein results in increased metabolism of 2-naphthol
THRB,7068,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,affects;decreases,,,,,,CTD-PMID:18584933,CTD,2-naphthol binds to and results in decreased activity of THRB protein
UGT1A7,54577,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Oryctolagus cuniculus,,increases,,,,,,CTD-PMID:9264550,CTD,UGT1A7 protein results in increased glucuronidation of 2-naphthol
