dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
GSE144735,GSE144735::KUL01,KUL01,normal,epithelial,172,46.0,16.0,85.0,7.0,0.0,62.0,23.0,36.0,71.0
GSE144735,GSE144735::KUL01,KUL01,tumor,epithelial,730,217.0,53.0,169.0,32.0,0.0,196.0,66.0,256.0,485.0
GSE144735,GSE144735::KUL01,KUL01,tumor_border_included,epithelial,1102,356.0,93.0,245.0,46.0,2.0,367.0,128.0,465.0,797.0
GSE144735,GSE144735::KUL19,KUL19,normal,epithelial,287,67.0,25.0,96.0,24.0,1.0,112.0,28.0,68.0,194.0
GSE144735,GSE144735::KUL19,KUL19,tumor,epithelial,574,64.0,34.0,162.0,28.0,0.0,50.0,25.0,65.0,113.0
GSE144735,GSE144735::KUL19,KUL19,tumor_border_included,epithelial,218,51.0,11.0,84.0,15.0,1.0,50.0,9.0,36.0,95.0
GSE144735,GSE144735::KUL21,KUL21,normal,epithelial,249,25.0,13.0,73.0,6.0,1.0,55.0,16.0,31.0,80.0
GSE144735,GSE144735::KUL21,KUL21,tumor,epithelial,759,181.0,76.0,60.0,46.0,2.0,301.0,161.0,248.0,401.0
GSE144735,GSE144735::KUL21,KUL21,tumor_border_included,epithelial,740,156.0,67.0,67.0,56.0,2.0,290.0,154.0,282.0,420.0
GSE144735,GSE144735::KUL28,KUL28,normal,epithelial,20,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0
GSE144735,GSE144735::KUL28,KUL28,tumor,epithelial,40,12.0,3.0,18.0,4.0,0.0,4.0,7.0,18.0,23.0
GSE144735,GSE144735::KUL28,KUL28,tumor_border_included,epithelial,17,5.0,0.0,5.0,1.0,0.0,4.0,2.0,9.0,16.0
GSE144735,GSE144735::KUL30,KUL30,normal,epithelial,150,136.0,10.0,114.0,7.0,1.0,59.0,42.0,38.0,154.0
GSE144735,GSE144735::KUL30,KUL30,tumor,epithelial,68,47.0,8.0,47.0,7.0,0.0,24.0,16.0,22.0,133.0
GSE144735,GSE144735::KUL30,KUL30,tumor_border_included,epithelial,190,138.0,8.0,44.0,13.0,1.0,53.0,29.0,47.0,236.0
GSE144735,GSE144735::KUL31,KUL31,normal,epithelial,266,96.0,9.0,96.0,15.0,0.0,87.0,30.0,47.0,165.0
GSE144735,GSE144735::KUL31,KUL31,tumor,epithelial,41,15.0,3.0,29.0,11.0,0.0,14.0,2.0,9.0,32.0
GSE144735,GSE144735::KUL31,KUL31,tumor_border_included,epithelial,545,324.0,55.0,345.0,102.0,2.0,183.0,41.0,135.0,330.0
