database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations,strict_database_gate
CTRPv2,250,weighted,1541B,1541B,4,2,1,-0.1066839629036466,0.3729788082475775,-0.38989267766974034,0.09301436141987275,-0.2748519952204294,none,tested,348.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.12339085719482029,361.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,16-beta-bromoandrosterone,16BETABROMOANDROSTERONE,4,2,2,-0.02707594911074322,0.2474543846843264,-0.19691751388971798,0.6142593290415077,0.0026975001902701094,none,tested,208.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,0,3,3,0.04760975065265798,152.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,"1S,3R-RSL-3",1S3RRSL3,4,2,1,-0.09030867630700776,0.45652808676307,-0.43670745272525024,0.3975528364849833,-0.2556173526140155,none,tested,323.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.17286916017797554,395.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,3-Cl-AHPC,3CLAHPC,4,2,2,-0.09810841332580467,0.3122529644268775,-0.25127046866177305,0.1600790513833992,0.04150197628458498,none,tested,339.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.06754658385093168,317.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,5-Fluorouracil,5FLUOROURACIL,4,1,0,-0.12122647467475053,0.18705528188286813,-0.3528693528693529,0.01282051282051282,-0.184981684981685,none,tested,361.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.14897793777104124,384.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AACOCF3,AACOCF3,4,2,2,-0.03761392093420379,0.3382118464893537,-0.20830134000550019,0.23524579194651016,0.11393612140003029,none,tested,232.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,0,0,0,2,0.015978975098299212,219.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,ABT-737,ABT737,4,1,1,-0.08949941514242257,0.15280863135509712,-0.2240879281183541,0.18348343978083215,-0.1234432747292896,none,tested,321.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,0,0,0,3,0.04077619030653015,186.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AC55649,AC55649,4,2,1,-0.03134569803261239,0.21979154631499603,-0.13566391350962723,0.1556855597782236,-0.12931515002796792,none,tested,220.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,1,0,0,2,0.011314052917875884,214.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AGK2,AGK2,4,4,3,0.1728369457431609,0.03112515929337309,0.11960941526510543,0.18386985512497953,0.18287697862876395,TierA_strong_collateral,tested,12.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,5,6,6,0.1734712452762217,22.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,AM-580,AM580,4,3,2,0.03506493506493506,0.12275550536420103,-0.383399209486166,0.09203839638622249,0.03766233766233767,none,tested,119.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,5,1,4,5,0.09253246753246754,84.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,AT7867,AT7867,4,2,2,0.03423207227555054,0.32474590626764543,-0.2783738001129306,0.24011857707509882,0.1643139469226426,none,tested,124.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,1,0,0,3,0.023433088650479956,186.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AZ-3146,AZ3146,4,3,2,0.13663393125000528,0.3097168795760959,-0.17104713816238315,0.384650723891974,0.25049554062500967,TierB_moderate_candidate,tested,20.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,6,6,6,0.19282216022419224,19.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,AZD-7545,AZD7545,4,4,3,0.14721027633723582,0.09433349750880218,0.024502756715204414,0.18978716155386552,0.18255187386999377,TierB_moderate_candidate,tested,18.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,3,4,6,0.13733132584579566,43.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,AZD4547,AZD4547,4,1,0,-0.1538396386222473,0.24326651609260302,-0.34935064935064936,0.04285714285714286,-0.2506493506493506,none,tested,382.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.18632128740824394,394.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AZD6482,AZD6482,4,3,2,0.1232112332112332,0.1831074481074481,-0.23076923076923075,0.31418803418803415,0.15445665445665446,TierB_moderate_candidate,tested,26.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,3,6,6,0.13236263736263737,50.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,AZD7762,AZD7762,4,1,1,-0.03610374300029473,0.1395257041808766,-0.14041514041514042,0.4145299145299145,-0.03557744937055282,none,tested,231.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,2,0,1,2,-0.047861142688728896,272.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,AZD8055,AZD8055,4,2,1,0.028954570333880675,0.16223316912972083,-0.2517788724685276,0.08155446086480568,-0.02364532019704433,none,tested,133.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,4,0,1,6,0.06020799124247399,135.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Afatinib,AFATINIB,4,1,0,-0.2045299145299145,0.15108974358974356,-0.2776923076923077,0.04923076923076923,-0.25076923076923074,none,tested,395.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.21053418803418805,397.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Alisertib,ALISERTIB,4,3,2,0.06384615384615384,0.1447137588790237,-0.18635664488470535,0.11557531370831267,0.01769230769230769,none,tested,83.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,0,3,6,0.07158679375020988,110.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,Alisertib:navitoclax (2:1 mol/mol),ALISERTIBNAVITOCLAX21MOLMOL,4,0,0,-0.08311965811965812,0.05363247863247863,-0.12076923076923077,-0.04957264957264957,-0.107008547008547,none,tested,302.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,1,0,0,0,-0.08002136752136751,320.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Apicidin,APICIDIN,4,2,1,-0.056376573617952924,0.1981253420908593,-0.2615763546798029,0.13355227148330595,-0.12260536398467432,none,tested,268.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,2,0,0,1,-0.0022167487684729044,243.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Austocystin D,AUSTOCYSTIND,4,0,0,-0.22439661326293542,0.17444607264127576,-0.4650358432059284,-0.04644268774703557,-0.27092846911397045,none,tested,399.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.19417265081763693,398.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Axitinib,AXITINIB,4,1,1,-0.01565217391304348,0.037591973244147155,-0.05913043478260869,0.033846153846153845,-0.00608695652173913,none,tested,193.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,3,0,0,3,0.0056521739130434775,201.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Azacitidine,AZACITIDINE,4,1,1,-0.03287125089318802,0.12998555553344895,-0.09314860342876921,0.24804186939788575,-0.0030792926753312137,none,tested,223.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,3,0,1,2,-0.007153525858376135,214.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,B02,B02,4,3,2,0.08561547148503672,0.1931112365894975,-0.17673630717108982,0.3132411067193676,0.03853754940711463,none,tested,60.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,4,0,2,4,0.04125494071146245,186.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BAM7,BAM7,4,1,0,-0.31533907377563625,0.2934845578483364,-0.47644231221814054,0.1506507622745834,-0.40647993325907317,none,tested,406.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.23117009160038332,396.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BI 2536,BI2536,4,0,0,-0.10317460317460318,0.09789061513199443,-0.24137931034482757,-0.007326007326007325,-0.07692307692307693,none,tested,346.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.0873015873015873,341.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BIBR1532,BIBR1532,4,2,2,-0.007307692307692317,0.1785042735042735,-0.28478632478632476,0.14076923076923076,0.04076923076923076,none,tested,175.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,1,0,0,2,-0.03403846153846153,279.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BIX-01294,BIX01294,4,1,1,-0.040640046105460875,0.12678817175495583,-0.1463731574250378,0.1957043188179214,-0.06815258123493824,none,tested,242.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,2,0,0,2,-0.030335175500853042,244.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BMS-195614,BMS195614,4,1,1,-0.09033697866100251,0.16252665019382898,-0.2588345619498488,0.32351930482971525,-0.07904485632837721,none,tested,324.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.07513390111251317,329.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BMS-270394,BMS270394,4,1,0,-0.2807878080107956,0.17813658561500972,-0.30573966971033417,0.2577158012395479,-0.3056362865958217,none,tested,403.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,0,-0.227984791017615,401.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BMS-345541,BMS345541,4,1,1,-0.08436928890925419,0.19819603901636512,-0.34146386603753287,0.3559714836696788,-0.06847782118287939,none,tested,305.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.0726869952451652,316.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BMS-536924,BMS536924,4,2,2,0.07589743589743589,0.29579975579975576,-0.07008547008547007,0.24542124542124538,0.2205128205128205,none,tested,73.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,2,0,5,6,0.09630036630036629,86.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BMS-754807,BMS754807,4,3,2,0.05459240425870014,0.14260289210233593,-0.30197044334975365,0.10344827586206895,0.027093596059113295,none,tested,96.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,4,0,2,5,0.04937231844907039,166.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BRD-A02303741,BRDA02303741,4,3,3,0.10646742875539955,0.134981359389439,-0.11409130958612458,0.3250601522243268,0.12326309137995034,TierB_moderate_candidate,tested,36.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,1,2,6,0.06855138875713024,122.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BRD-A02303741:carboplatin (1:1 mol/mol),BRDA02303741CARBOPLATIN11MOLMOL,4,3,2,0.08738887379443988,0.08697350345861997,-0.1306212844788921,0.20287926778944473,0.08498996353341604,none,tested,57.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,4,2,6,6,0.11257743153519018,69.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BRD-A02303741:navitoclax (2:1 mol/mol),BRDA02303741NAVITOCLAX21MOLMOL,4,1,0,-0.19531040000968486,0.19758073531688666,-0.2842221486797477,0.14642603332051557,-0.25525619322089876,none,tested,392.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.14115788945600896,381.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-A71883111,BRDA71883111,4,1,1,-0.08708715571335272,0.15683490476457967,-0.17223953296345973,0.14192295072209885,-0.1392833449421461,none,tested,312.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,3,0,0,3,-0.009171022816651775,237.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K02492147,BRDK02492147,4,2,1,-0.04450339904028291,0.1933283124079434,-0.20604747567553164,0.21350210686781199,-0.1034640102216879,none,tested,249.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,2,1,1,2,0.001542643888182026,226.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K03536150,BRDK03536150,4,1,0,-0.14113690415653982,0.2404449213048217,-0.2586560856301079,0.032024086792299074,-0.2529868229560198,none,tested,375.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,0,0,0,0,-0.0703016951104645,310.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K04800985,BRDK04800985,4,2,2,-0.02209617003755835,0.19859593644353915,-0.14189905011166765,0.4967833857893115,0.0038540482746378863,none,tested,200.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,3,2,3,6,0.08490102693580448,91.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K09587429,BRDK09587429,4,2,1,-0.11281437632246924,0.37547647751998203,-0.4631757150132857,0.20394312519547975,-0.2519455546343297,none,tested,354.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,2,2,3,0.04610040614657608,169.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K11533227,BRDK11533227,4,3,3,0.11126242680400567,0.16939882294471062,-0.18304535210783515,0.2558626637127769,0.15104363946371074,TierB_moderate_candidate,tested,34.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,3,1,2,3,0.017196307966547572,209.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K14844214,BRDK14844214,4,1,1,-0.16077135433335188,0.14935673776635056,-0.2961400665091477,0.1920448104579514,-0.14256434198363468,none,tested,385.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.06051953495912662,298.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K16147474,BRDK16147474,4,2,2,-0.02353133466936314,0.19185000866897656,-0.06362997049082733,0.4997280609279609,0.010475665873489864,none,tested,201.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,4,1,2,5,0.0737696668299754,133.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K17060750,BRDK17060750,4,1,1,-0.04039908136818888,0.16796437194116362,-0.41973322881510744,0.15486211056650517,-0.0566094394320292,none,tested,240.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,1,2,4,0.059948532764003054,149.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K19103580,BRDK19103580,4,2,1,-0.06647742723888267,0.30168258538058834,-0.5416337318549451,0.21434459406783507,-0.14160276317214485,none,tested,281.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,4,2,2,4,0.06528625408268418,137.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K24690302,BRDK24690302,4,3,2,0.03101859208644525,0.09004846655013506,-0.21034482758620687,0.1172413793103448,0.025583982202447165,none,tested,131.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,0,0,3,0.025282059431113932,182.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K26531177,BRDK26531177,4,2,1,-0.007905138339920938,0.18298418972332015,-0.08893280632411067,0.16869565217391302,-0.08695652173913042,none,tested,180.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,0,5,0.03973320158102767,182.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K27188169,BRDK27188169,4,2,2,0.0229914005206608,0.425633420744833,-0.27389022049942763,0.401805982820589,0.19413098046388003,none,tested,140.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,4,1,3,6,0.10495626212271068,92.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K28456706,BRDK28456706,4,1,1,-0.08018239990489577,0.14745654151978743,-0.19354866078590738,0.1406299411226522,-0.1227903272666608,none,tested,301.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,0,1,4,0.08184345012642047,115.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K29313308,BRDK29313308,4,3,3,0.0346546408381221,0.1180842343061772,-0.187002372451647,0.19390000094371593,0.049893734809679756,none,tested,122.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,1,2,3,0.026539446521704237,171.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K33199242,BRDK33199242,4,1,1,-0.06616608809653315,0.1656362351465832,-0.3102386392120714,0.3018914112512085,-0.057763606409357675,none,tested,280.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,0,0,0,1,-0.04789390410881769,252.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K34222889,BRDK34222889,4,1,1,-0.014567807671255949,0.1432887036335312,-0.246031746031746,0.3119658119658119,-0.0120415982484948,none,tested,191.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,1,0,1,2,0.005010315355142941,217.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K35604418,BRDK35604418,4,1,0,-0.06501142067346356,0.15306861904657543,-0.12008895646503281,0.19595423495444914,-0.11438330146793353,none,tested,277.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,0,4,0.028127038460529212,196.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K37390332,BRDK37390332,4,0,0,-0.11351060821416836,0.08870791648647046,-0.20696793228576627,-0.06620892419081352,-0.14918938452265654,none,tested,356.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.06392809504636426,314.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K41597374,BRDK41597374,4,1,1,-0.038266010883822546,0.15340170739571724,-0.1570725808743712,0.3423798490612384,-0.019240277609279332,none,tested,234.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,5,3,4,5,0.14692154710393224,49.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K45681478,BRDK45681478,4,3,2,0.09630188406202135,0.19809925156222258,-0.329134770057247,0.21960572844085866,0.05569246610355724,none,tested,49.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,2,4,6,0.09674028378037142,72.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BRD-K50799972,BRDK50799972,4,2,2,0.041388593849498036,0.1541706097020819,-0.04248326054984916,0.19268214300996106,0.10497476639091761,none,tested,113.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,2,0,2,3,0.018567554302294825,180.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K51490254,BRDK51490254,4,3,2,0.08479372293177428,0.07200267368767585,-0.037586566358863364,0.21311489030185934,0.07857551658344417,none,tested,62.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,3,6,6,0.1558381642803528,41.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,BRD-K52037352,BRDK52037352,4,1,1,-0.05559903661763111,0.15146961327395536,-0.20135612497891447,0.2192205034084846,-0.024715399166227395,none,tested,265.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,1,4,0.04253082426525852,182.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K55116708,BRDK55116708,4,2,2,0.07530372269804284,0.3254910272568652,-0.31039516236479125,0.42084599568802905,0.17042421452714956,none,tested,74.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,3,2,3,4,0.08149646305150031,94.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K61166597,BRDK61166597,4,2,1,-0.0007046608436256721,0.188198011974312,-0.20311598760033472,0.21538461538461537,-0.05641990166234199,none,tested,169.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,1,3,5,0.08272806050123924,107.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,BRD-K63431240,BRDK63431240,4,2,1,-0.07799888397715109,0.34618679110605244,-0.3010853726734463,0.25223104602269575,-0.21657067493182905,none,tested,297.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,1,-0.06368446754929964,312.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
