disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2003-2004,2368,2094,5041,1611,1353,83
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2005-2006,2323,2120,4979,1593,1393,68
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2007-2008,2294,2100,5935,1887,1553,69
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2009-2010,2432,2233,6218,2019,1664,76
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2011-2012,2177,1904,5560,1775,1388,47
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2013-2014,2339,2168,5769,1863,1591,73
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2015-2016,2170,1993,5719,1751,1460,67
NHANES_HEART_ATTACK,NHANES_LBXPFDE,LBXPFDE,2017-2018,2133,1929,5569,1765,1385,69
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2003-2004,2368,2094,5041,1611,1353,83
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2005-2006,2323,2120,4979,1593,1393,68
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2007-2008,2294,2100,5935,1887,1553,69
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2009-2010,2432,2233,6218,2019,1664,76
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2011-2012,2177,1904,5560,1775,1388,47
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2013-2014,2339,2168,5769,1863,1591,73
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2015-2016,2170,1993,5719,1751,1460,67
NHANES_HEART_ATTACK,NHANES_LBXPFHS,LBXPFHS,2017-2018,2133,1929,5569,1765,1385,69
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2003-2004,2368,2094,5041,1611,1353,83
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2005-2006,2323,2120,4979,1593,1393,68
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2007-2008,2294,2100,5935,1887,1553,69
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2009-2010,2432,2233,6218,2019,1664,76
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2011-2012,2177,1904,5560,1775,1388,47
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2013-2014,2339,2168,5769,1863,1591,73
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2015-2016,2170,1993,5719,1751,1460,67
NHANES_HEART_ATTACK,NHANES_LBXPFNA,LBXPFNA,2017-2018,2133,1929,5569,1765,1385,69
NHANES_HEART_ATTACK,NHANES_URXBPH,URXBPH,2003-2004,2612,2517,5041,1546,1385,62
NHANES_HEART_ATTACK,NHANES_URXBPH,URXBPH,2005-2006,2638,2548,4979,1543,1387,50
NHANES_HEART_ATTACK,NHANES_URXBPH,URXBPH,2007-2008,2718,2604,5935,1900,1637,79
